Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Ratings
5MWO7Z7C,Headphones,Electronics,Product_ETFOK,458.62,99,1,8x10x12 cm,2023-01-01,2026-01-01,J6SQYR,"Z3E,4QM",Green/Large,3
JEN0C77F,Laptop,Electronics,Product_XBLJ6,199.43,82,3,8x11x6 cm,2023-01-01,2025-01-01,VFPFE8,"NCT,OD0",Blue/Medium,3
G8EXIGLQ,Smartphone,Clothing,Product_NRHZD,187.74,86,1,8x20x11 cm,2023-03-15,2025-01-01,0SO4YK,"LJY,J4K",Green/Large,2
6VP7E0Y7,Laptop,Clothing,Product_0PFHP,33.61,25,2,17x7x9 cm,2023-01-01,2024-01-01,GCTA1I,"X5J,DG6",Green/Large,3
CY13LJDM,Headphones,Home Appliances,Product_A7QNB,457.81,82,2,10x17x19 cm,2023-07-30,2025-01-01,21YEFD,"70K,K1R",Green/Large,1
46147PP1,Laptop,Home Appliances,Product_WIW9X,41.2,39,1,13x19x9 cm,2023-07-30,2024-01-01,LSJXQC,"D61,RDL",Blue/Medium,4
QK1536C1,Laptop,Home Appliances,Product_GT9CY,42.56,87,1,12x9x5 cm,2023-03-15,2024-01-01,FDA9P0,"AOB,53C",Blue/Medium,1
0VIXGHEU,Headphones,Electronics,Product_B0VSE,388.85,51,2,13x14x6 cm,2023-01-01,2025-01-01,NXC2GG,"O07,S8Q",Red/Small,3
WGH2J7KS,Laptop,Electronics,Product_VYB5Y,34.73,3,1,13x13x16 cm,2023-01-01,2026-01-01,7BRUNO,"NWI,DCX",Red/Small,3
DQ2QOV6R,Monitor,Home Appliances,Product_5HAJ9,360.51,3,3,8x12x19 cm,2023-01-01,2024-01-01,SMSZF0,"0DJ,N2H",Green/Large,4
LV4E5ITY,Headphones,Electronics,Product_B83O4,344.98,94,3,14x8x10 cm,2023-07-30,2025-01-01,G7KYPM,"CLG,M1P",Red/Small,4
CEROQNYZ,Smartphone,Home Appliances,Product_SM0NU,151.65,23,2,14x16x5 cm,2023-07-30,2024-01-01,37I7G3,"9I6,8XR",Red/Small,1
X8J1HA7I,Headphones,Home Appliances,Product_MYBG1,152.54,41,1,9x16x14 cm,2023-03-15,2025-01-01,21EO1T,"4JT,HSB",Green/Large,5
G6CE0YWD,Monitor,Electronics,Product_FHNUZ,394.78,4,1,10x9x7 cm,2023-01-01,2026-01-01,7BFV3N,"WP7,TYF",Red/Small,3
FP72DBY3,Monitor,Home Appliances,Product_NAJVO,225.2,93,2,14x11x15 cm,2023-01-01,2026-01-01,6ZXIX1,"4JO,OSA",Blue/Medium,4
N0S2SDN7,Monitor,Home Appliances,Product_B7TYK,193.86,67,1,19x17x10 cm,2023-01-01,2025-01-01,F1G6M5,"0L9,DB0",Red/Small,2
ZZ3MB561,Smartphone,Electronics,Product_10N17,123.32,12,2,6x9x15 cm,2023-01-01,2025-01-01,XYA80H,"0A1,IBI",Red/Small,1
S43X3JJZ,Headphones,Electronics,Product_JND8Z,410.86,63,3,13x7x13 cm,2023-01-01,2025-01-01,AAWO4S,"8T8,N1Y",Green/Large,5
IXWUCMZZ,Headphones,Home Appliances,Product_ZD6SQ,314.07,78,3,13x13x7 cm,2023-01-01,2024-01-01,JUK6ZU,"4OW,VLT",Blue/Medium,4
7PSDUPG3,Monitor,Electronics,Product_IT1KE,315.27,71,3,14x14x15 cm,2023-01-01,2025-01-01,SQOXUT,"A2U,E23",Blue/Medium,4
AL3IWWOO,Monitor,Clothing,Product_V1YD1,455.97,58,1,19x14x10 cm,2023-01-01,2025-01-01,BEM1NC,"P8R,H3U",Blue/Medium,1
BW39W3YX,Headphones,Clothing,Product_N0OBH,186.95,17,3,6x16x17 cm,2023-07-30,2026-01-01,7EKQ4Y,"X3Q,347",Red/Small,1
U7OCC9JV,Monitor,Clothing,Product_XI90M,489.09,2,1,18x18x15 cm,2023-03-15,2026-01-01,66QQAU,"QBN,61U",Red/Small,3
EQG04VP0,Monitor,Clothing,Product_QHQY9,497.46,89,1,10x8x19 cm,2023-07-30,2025-01-01,BVX655,"MYJ,PUQ",Red/Small,5
B410OPED,Headphones,Clothing,Product_HPJRB,125.53,11,3,6x11x13 cm,2023-01-01,2025-01-01,TRHJZI,"B56,WX4",Blue/Medium,3
G9UU3N56,Smartphone,Electronics,Product_5B17G,315.09,27,2,12x16x6 cm,2023-07-30,2026-01-01,CKEQNV,"XZT,Z7Q",Blue/Medium,4
SBWOY04F,Headphones,Clothing,Product_MQ3FP,345.55,42,2,18x9x5 cm,2023-07-30,2024-01-01,JA1O01,"YEB,KNM",Green/Large,2
RBJABTHA,Laptop,Electronics,Product_YE7R7,193.28,28,1,20x20x19 cm,2023-07-30,2026-01-01,HSUNOT,"1GM,WL3",Green/Large,4
UC6A4P2C,Headphones,Clothing,Product_DAS5O,360.08,70,2,14x15x7 cm,2023-03-15,2026-01-01,PTHK87,"XRV,2K0",Green/Large,5
G4C7XYGW,Headphones,Clothing,Product_IO34E,301.33,17,2,11x9x18 cm,2023-01-01,2026-01-01,YSIEC6,"646,ID9",Green/Large,1
L7EESNUJ,Monitor,Clothing,Product_ERHC3,121.1,36,3,13x16x9 cm,2023-07-30,2026-01-01,BAMJXV,"WA6,3EP",Green/Large,4
WVYZIJWE,Headphones,Electronics,Product_VKYLV,208.47,70,1,7x12x20 cm,2023-07-30,2024-01-01,DZHLIK,"B2V,6QQ",Red/Small,5
EFZXIAUU,Headphones,Home Appliances,Product_CJ0WX,212.21,20,3,6x7x12 cm,2023-07-30,2025-01-01,U7UDZ9,"DGX,PNN",Green/Large,4
BLT0EUAU,Monitor,Electronics,Product_AYGR0,213.05,95,3,6x14x19 cm,2023-07-30,2026-01-01,QOUCTL,"BF6,J8S",Blue/Medium,1
X41BUTDV,Laptop,Home Appliances,Product_QWBY2,21.24,27,3,12x10x10 cm,2023-03-15,2025-01-01,LW47XZ,"E24,ODL",Blue/Medium,4
YJ22FKTP,Smartphone,Electronics,Product_GK2C1,241.7,74,3,15x12x10 cm,2023-03-15,2026-01-01,IOHAAQ,"VHN,DH7",Red/Small,5
ZKWQDNXT,Monitor,Clothing,Product_93P0F,127.91,60,2,11x9x13 cm,2023-03-15,2025-01-01,R1WE2D,"W6R,OKD",Green/Large,2
HM12SCC0,Monitor,Clothing,Product_VS6FF,327.39,57,1,19x5x8 cm,2023-03-15,2024-01-01,70BSJ8,"35C,E1B",Red/Small,5
F1CIX03X,Smartphone,Clothing,Product_8E0UR,401.19,6,2,18x10x6 cm,2023-07-30,2026-01-01,4YGV18,"M0V,3I7",Blue/Medium,2
8QLPTNZR,Headphones,Home Appliances,Product_QKV9Q,293.82,62,1,17x7x14 cm,2023-07-30,2024-01-01,7U3MQ2,"Z3G,OGS",Green/Large,3
90CHQTK3,Laptop,Home Appliances,Product_WRK2K,496.12,19,2,13x5x15 cm,2023-01-01,2026-01-01,FQB129,"P6L,LWV",Red/Small,1
CTU0LHKK,Smartphone,Electronics,Product_SSONQ,370.54,34,2,15x19x15 cm,2023-01-01,2024-01-01,SRORPV,"ND3,FWT",Green/Large,3
O619NRIS,Monitor,Electronics,Product_1J8VK,216.9,87,1,13x12x14 cm,2023-01-01,2024-01-01,4K05GP,"8PM,A6Y",Blue/Medium,3
PS8ZGRNI,Laptop,Clothing,Product_4D8M0,200.13,28,2,8x19x8 cm,2023-03-15,2025-01-01,C35Y7K,"ZNQ,G8G",Green/Large,2
ZZCF4UKM,Headphones,Electronics,Product_5UB7Q,444.77,69,2,6x16x5 cm,2023-03-15,2026-01-01,XXFTS5,"GZM,XL8",Green/Large,3
IVJF8FEI,Headphones,Electronics,Product_EURCG,411.03,8,1,11x9x13 cm,2023-07-30,2025-01-01,H1BCI8,"PW5,0DP",Red/Small,3
888M7QJO,Headphones,Electronics,Product_ZAV3O,73.05,63,3,18x6x14 cm,2023-07-30,2024-01-01,OUAILX,"8P1,SJO",Red/Small,5
CE5KU7A2,Smartphone,Home Appliances,Product_VQ8QF,456.74,35,3,18x15x11 cm,2023-07-30,2025-01-01,RVA7UU,"YGJ,WVX",Red/Small,1
FY3JWJRK,Laptop,Home Appliances,Product_XEHZJ,292.92,70,3,14x11x16 cm,2023-07-30,2025-01-01,O6OAJT,"IZJ,5TF",Green/Large,2
98Q8OLZZ,Monitor,Home Appliances,Product_B0TLL,169.22,96,1,10x11x11 cm,2023-03-15,2025-01-01,2GWMQ1,"FF2,EQD",Blue/Medium,4
YPWRXPIY,Smartphone,Electronics,Product_BB06G,214.57,26,2,17x10x10 cm,2023-03-15,2025-01-01,E47IST,"SB6,0DQ",Green/Large,5
X0OLGZ7A,Smartphone,Electronics,Product_UTTWX,482.09,87,2,5x8x6 cm,2023-01-01,2025-01-01,SVV2SX,"2D5,RIC",Green/Large,1
DH41DY93,Smartphone,Clothing,Product_0ZMVT,261.67,67,1,13x20x7 cm,2023-07-30,2025-01-01,AOXG1V,"532,490",Green/Large,2
IYMLJ9YO,Headphones,Electronics,Product_KV4N8,246.04,35,2,13x5x12 cm,2023-03-15,2026-01-01,P60CUF,"SM7,UO6",Green/Large,1
I1TRA92X,Smartphone,Home Appliances,Product_RRXDH,487.21,80,3,9x18x19 cm,2023-03-15,2026-01-01,LBXBCO,"P8V,IWF",Blue/Medium,5
NN3MP9XU,Headphones,Home Appliances,Product_C4N32,482.55,84,2,20x17x5 cm,2023-07-30,2025-01-01,B7VGJJ,"2XV,4ZD",Red/Small,1
SUNKRO0R,Monitor,Electronics,Product_LBCNJ,78.59,10,2,5x6x12 cm,2023-01-01,2025-01-01,KLBEFM,"SVA,VYO",Green/Large,3
X15W1L0T,Smartphone,Clothing,Product_3HDNF,62.47,54,3,8x13x5 cm,2023-01-01,2024-01-01,N0KO2E,"JZ4,1VQ",Green/Large,2
GMQ0Y2XG,Smartphone,Home Appliances,Product_PRL0X,366.83,23,3,12x14x16 cm,2023-07-30,2025-01-01,98IZH0,"NG7,M6S",Green/Large,5
PORJFHRM,Laptop,Electronics,Product_6W7M9,116.07,69,3,16x14x18 cm,2023-01-01,2026-01-01,DKD4A4,"QKE,UW6",Red/Small,2
05WE9BG5,Smartphone,Clothing,Product_DZCOO,110.47,90,2,18x10x12 cm,2023-01-01,2026-01-01,EYKX4L,"X2Z,NU6",Red/Small,1
6CL66EZE,Monitor,Home Appliances,Product_SWPLR,347.68,79,2,18x10x7 cm,2023-07-30,2026-01-01,39GKWZ,"Q40,ZJI",Blue/Medium,3
364SWVN7,Monitor,Electronics,Product_76GV0,465.14,73,1,12x7x19 cm,2023-01-01,2024-01-01,JZIGV6,"7W3,TJ8",Blue/Medium,2
5K6RZ703,Monitor,Clothing,Product_KHFXB,11.58,53,2,12x19x19 cm,2023-03-15,2026-01-01,FW4GFF,"VWR,BKA",Red/Small,2
2Q7CU36E,Laptop,Home Appliances,Product_0SYF2,397.07,38,3,6x10x15 cm,2023-03-15,2026-01-01,POYWPT,"OR6,VLG",Blue/Medium,2
OMREVPCO,Smartphone,Home Appliances,Product_HHB9A,301.39,95,1,16x15x9 cm,2023-03-15,2026-01-01,YM4BV0,"D8B,FCC",Green/Large,5
9GCY9YOK,Monitor,Home Appliances,Product_QKRPV,50.34,7,3,5x15x20 cm,2023-07-30,2024-01-01,AZGIW8,"VI4,7MB",Blue/Medium,2
ZSDW96V7,Smartphone,Clothing,Product_977ZY,122.33,71,1,14x19x5 cm,2023-03-15,2024-01-01,N9E5TJ,"NUK,UNP",Red/Small,2
QGGC9XRZ,Monitor,Clothing,Product_X7DAN,467.14,90,1,18x17x17 cm,2023-03-15,2026-01-01,BWWWFD,"2RH,KPX",Green/Large,3
Y0MY1TPH,Smartphone,Clothing,Product_W1JZP,368.61,18,2,16x11x20 cm,2023-01-01,2024-01-01,BHWPD5,"PRA,A59",Green/Large,4
6ACVWIAM,Smartphone,Clothing,Product_OL9WF,154.29,90,2,8x9x10 cm,2023-07-30,2026-01-01,VK5EY0,"TNY,M2B",Red/Small,5
35I53WG7,Smartphone,Electronics,Product_SY7AG,489.69,38,3,16x15x11 cm,2023-07-30,2025-01-01,S7M9S6,"1M2,U3S",Red/Small,2
MAFLGGKB,Monitor,Clothing,Product_GPWT3,156.75,12,1,9x8x18 cm,2023-03-15,2024-01-01,1HNPX1,"PH3,NRL",Red/Small,3
FASC1XIG,Headphones,Electronics,Product_WD3VC,373.24,29,2,8x5x19 cm,2023-01-01,2025-01-01,YZTRKY,"JN1,OI2",Red/Small,1
M9V3JGZU,Smartphone,Home Appliances,Product_DAOFV,331.45,3,2,13x18x16 cm,2023-07-30,2026-01-01,H4L608,"FBK,Q9H",Blue/Medium,5
CW4DGW5S,Laptop,Electronics,Product_770PD,336.92,10,3,9x9x6 cm,2023-03-15,2026-01-01,VT1PNC,"3EI,9B8",Green/Large,4
QVPX3YZM,Headphones,Home Appliances,Product_P427P,478.18,45,1,13x20x13 cm,2023-01-01,2024-01-01,2IZ008,"NJ4,QPU",Green/Large,4
O957W44Y,Smartphone,Electronics,Product_YED03,388.3,11,2,12x6x19 cm,2023-01-01,2025-01-01,Z9GT07,"L68,SWR",Green/Large,4
8PRRJN39,Laptop,Clothing,Product_XZV4I,81.39,60,1,10x20x17 cm,2023-03-15,2025-01-01,22QA4B,"CWN,L1Z",Green/Large,5
FB30RHWV,Laptop,Clothing,Product_KEAO7,350.57,55,3,10x13x7 cm,2023-01-01,2026-01-01,LRUC9J,"KL2,9WZ",Green/Large,2
2ZKMEM33,Monitor,Electronics,Product_RBT7G,124.02,84,1,13x17x16 cm,2023-03-15,2024-01-01,5EKTGO,"KWT,HOK",Blue/Medium,4
3CL92S8R,Laptop,Home Appliances,Product_8VA5W,235.64,57,1,16x20x5 cm,2023-07-30,2026-01-01,BTNZMO,"BEY,OQD",Blue/Medium,3
MG88YAFB,Headphones,Electronics,Product_QURHH,481.38,40,3,12x19x20 cm,2023-01-01,2024-01-01,AF6XCT,"D1L,5XM",Green/Large,3
GHZ05VPI,Laptop,Clothing,Product_OV5JV,298.69,5,1,5x15x15 cm,2023-03-15,2025-01-01,AHBU8Y,"HWZ,0LK",Red/Small,3
S5P1ZKAY,Laptop,Electronics,Product_692C5,87.38,60,1,19x12x12 cm,2023-01-01,2026-01-01,CD4SSP,"VX3,ETO",Blue/Medium,2
90B0WAKP,Monitor,Clothing,Product_2KMZH,72.1,57,2,14x8x7 cm,2023-03-15,2025-01-01,9ZAIGX,"YNC,ZGF",Green/Large,5
9Y7H560F,Smartphone,Clothing,Product_M4JYZ,494.24,92,3,9x20x20 cm,2023-01-01,2025-01-01,HPAXT8,"QUN,PU9",Green/Large,2
0SN7XWUD,Smartphone,Clothing,Product_929CV,72.51,86,2,8x12x13 cm,2023-01-01,2024-01-01,PHDA64,"FV3,P24",Red/Small,3
39CECULJ,Laptop,Electronics,Product_1V1P6,460.4,93,3,19x15x11 cm,2023-07-30,2026-01-01,Q393UF,"6DJ,B6C",Red/Small,3
SPT0QQRK,Headphones,Clothing,Product_8ZX1Z,15.93,97,2,8x8x5 cm,2023-01-01,2026-01-01,5SYVGF,"08S,2U1",Red/Small,2
80EGOST6,Headphones,Electronics,Product_W8L87,296.67,100,3,20x14x20 cm,2023-01-01,2026-01-01,HN1R4A,"X0U,V3B",Blue/Medium,1
46SI6YTB,Headphones,Home Appliances,Product_NUKG7,464.39,24,1,10x12x16 cm,2023-03-15,2026-01-01,S9UGI6,"T6C,RQY",Blue/Medium,4
48SKFS6P,Smartphone,Electronics,Product_8NY5J,188.53,21,1,18x15x10 cm,2023-03-15,2025-01-01,PQ2UYI,"0LV,EOI",Green/Large,5
DVQZCSPT,Smartphone,Electronics,Product_YESMJ,249.04,53,1,5x12x7 cm,2023-03-15,2026-01-01,0APJW5,"W51,4YV",Red/Small,3
SGPS8PVV,Laptop,Electronics,Product_MHJPK,44.92,83,3,15x14x18 cm,2023-03-15,2025-01-01,TI84O5,"Q7Z,QSK",Green/Large,1
NZ2H90XT,Headphones,Home Appliances,Product_NR81O,443.91,49,3,13x13x12 cm,2023-07-30,2025-01-01,F2F8WV,"GLT,QXI",Green/Large,3
9P1HJXLD,Monitor,Electronics,Product_GEYA2,134.84,18,3,5x8x16 cm,2023-07-30,2024-01-01,9D8EUU,"C9X,0U7",Red/Small,1
SD97ZPIB,Laptop,Clothing,Product_YQRQV,87.44,3,3,14x14x16 cm,2023-07-30,2025-01-01,OTGF02,"7QG,H3U",Green/Large,4
N8WF7DZY,Laptop,Home Appliances,Product_23B9Z,493.39,49,1,13x15x19 cm,2023-03-15,2025-01-01,X3610R,"JYT,7OS",Green/Large,5
UD54UOUW,Headphones,Electronics,Product_RWCDH,127.27,11,2,13x12x17 cm,2023-03-15,2026-01-01,98I7T1,"FCE,9LA",Red/Small,2
0DTBBVR6,Laptop,Clothing,Product_OENWI,182.98,15,1,9x14x16 cm,2023-03-15,2024-01-01,BH36SM,"IUY,LOQ",Red/Small,4
ZWNKFV5N,Laptop,Clothing,Product_D2JNM,134.44,30,2,16x14x19 cm,2023-07-30,2025-01-01,JEDW5R,"4FK,FTR",Green/Large,5
YEJHL3AY,Smartphone,Electronics,Product_QK3TR,183.05,33,3,8x18x5 cm,2023-03-15,2024-01-01,XD165H,"OSS,AYZ",Blue/Medium,4
R3EO82XE,Laptop,Clothing,Product_JNJMD,273.61,78,2,7x12x9 cm,2023-07-30,2025-01-01,6ZP0WY,"WKS,LBA",Red/Small,5
6PYAM0RI,Monitor,Electronics,Product_OG69V,185.91,11,1,8x10x12 cm,2023-03-15,2024-01-01,V5826H,"75N,02F",Green/Large,5
LEIGMBR4,Headphones,Home Appliances,Product_V2HPI,143.56,41,1,18x15x19 cm,2023-03-15,2025-01-01,GDPMBR,"R58,Y7M",Red/Small,4
HL8SFHKT,Headphones,Clothing,Product_RU1G8,161.15,50,1,9x11x10 cm,2023-01-01,2024-01-01,1ERYI3,"9FC,E66",Green/Large,1
NEY9MQJR,Laptop,Clothing,Product_0OWHI,100.34,66,2,9x15x5 cm,2023-03-15,2026-01-01,QDG8D2,"1R4,I8P",Blue/Medium,1
IFF4DGUV,Smartphone,Electronics,Product_6T0EN,195.89,9,3,17x17x13 cm,2023-03-15,2025-01-01,75Y6SL,"13U,HKZ",Green/Large,1
PGDF8A3O,Smartphone,Electronics,Product_396CT,185.98,82,2,9x12x10 cm,2023-01-01,2026-01-01,4FXMTA,"0LG,4VC",Red/Small,5
QOVJSESG,Headphones,Home Appliances,Product_4N1P6,15.47,58,2,7x18x18 cm,2023-01-01,2025-01-01,UCT465,"URI,UQV",Blue/Medium,1
F7RYKQO2,Headphones,Clothing,Product_9PH2O,173.6,38,3,8x15x9 cm,2023-03-15,2026-01-01,5DA4GL,"5GN,5O2",Green/Large,1
LWE5YMF2,Smartphone,Clothing,Product_L5DDW,486.74,41,3,15x17x13 cm,2023-07-30,2025-01-01,IRU8Z9,"V85,RM2",Red/Small,5
80Y457U8,Smartphone,Electronics,Product_FI5OP,111.03,2,3,19x19x14 cm,2023-03-15,2026-01-01,NVMLI1,"0FO,XTS",Red/Small,1
HKLIB3RF,Monitor,Home Appliances,Product_K7RB6,146.39,49,1,19x5x18 cm,2023-01-01,2025-01-01,IZ5LT4,"OTG,N2B",Red/Small,3
GKS9E4LB,Smartphone,Home Appliances,Product_7DKP0,17.73,86,2,15x9x20 cm,2023-07-30,2025-01-01,WCAWDH,"R9C,CO3",Green/Large,2
NQ2NCONE,Laptop,Home Appliances,Product_T7FWF,277.87,82,3,20x20x20 cm,2023-07-30,2026-01-01,6LP8SW,"GVM,KQP",Red/Small,1
K6737YIO,Headphones,Home Appliances,Product_V19VM,139.29,25,1,19x17x10 cm,2023-01-01,2026-01-01,DYXRO1,"4F2,XEE",Green/Large,3
Y7J34NK1,Headphones,Electronics,Product_X5AC2,335.01,15,2,16x7x11 cm,2023-03-15,2025-01-01,2NLOLY,"E2A,XI9",Green/Large,2
KWG2H7M8,Laptop,Home Appliances,Product_ZDWIP,309.99,35,2,10x9x8 cm,2023-07-30,2026-01-01,QZ2QCR,"1SC,SQ8",Red/Small,5
5U9Z9N8L,Monitor,Electronics,Product_APH73,185.04,79,1,5x12x11 cm,2023-03-15,2025-01-01,G9B8UE,"BRV,L1H",Blue/Medium,4
LXA5NYXG,Headphones,Home Appliances,Product_PHQ3H,66.27,30,3,12x11x14 cm,2023-01-01,2026-01-01,PWLG5I,"4G6,F0G",Red/Small,3
JGBJ3B2P,Smartphone,Home Appliances,Product_X42NQ,445.34,29,3,15x12x8 cm,2023-07-30,2026-01-01,C7DJF6,"F9F,GG7",Blue/Medium,1
BFCOYUPQ,Laptop,Electronics,Product_SNF7E,490.85,66,3,19x14x8 cm,2023-03-15,2025-01-01,X18KA4,"CPH,YUA",Blue/Medium,4
KQK8C1TK,Headphones,Home Appliances,Product_QCBGC,69.89,53,2,14x17x17 cm,2023-01-01,2024-01-01,VPBB3H,"SYY,KVA",Blue/Medium,2
H5DUBZAP,Smartphone,Home Appliances,Product_3MYY2,89.7,95,2,8x13x7 cm,2023-07-30,2026-01-01,65IRF4,"XP6,3SW",Blue/Medium,4
F3ALVPDN,Laptop,Electronics,Product_Z26UA,387.68,33,1,5x5x13 cm,2023-03-15,2026-01-01,M5XKD3,"PSI,I81",Red/Small,2
B8FVOJ7N,Monitor,Clothing,Product_WFE46,465.73,37,3,20x19x18 cm,2023-01-01,2026-01-01,OBQQ7O,"RGT,0XL",Red/Small,2
GKD7WW0R,Smartphone,Clothing,Product_RX3WV,299.47,18,1,16x6x10 cm,2023-01-01,2026-01-01,8JWL1E,"V34,E91",Blue/Medium,5
U1QC0RI4,Headphones,Electronics,Product_J1FZM,305.84,72,2,15x5x12 cm,2023-01-01,2025-01-01,TSORMT,"QKR,21M",Red/Small,1
AIJFWH1P,Monitor,Electronics,Product_IM10V,268.19,57,1,9x14x17 cm,2023-07-30,2026-01-01,RTR0B4,"MGE,PR4",Green/Large,2
OUCQO32C,Smartphone,Clothing,Product_6GEFS,375.52,14,1,16x13x14 cm,2023-07-30,2025-01-01,JO5ACN,"IQL,29T",Red/Small,5
4XRLB4LH,Headphones,Clothing,Product_3J8SN,118.5,7,2,19x13x7 cm,2023-01-01,2025-01-01,W6JNUP,"DE3,BBD",Red/Small,3
MN2A8C2N,Laptop,Clothing,Product_E5P11,375.83,9,1,14x13x13 cm,2023-07-30,2025-01-01,K8E0QE,"LZQ,N0K",Green/Large,4
09256UT8,Smartphone,Home Appliances,Product_5U4WI,292.89,5,3,7x14x10 cm,2023-01-01,2025-01-01,W9GX5N,"HU5,0HD",Blue/Medium,1
DVX3T8Q9,Monitor,Clothing,Product_S427W,428.06,10,1,7x18x11 cm,2023-03-15,2026-01-01,3287E9,"FWZ,T10",Blue/Medium,5
9U9OVWCK,Monitor,Electronics,Product_H9Z0R,373.15,67,3,7x7x9 cm,2023-07-30,2026-01-01,DNHRPC,"GA4,1P7",Red/Small,3
EC03NOTI,Headphones,Clothing,Product_GJU9G,485.19,17,3,19x13x11 cm,2023-03-15,2024-01-01,I2P0Y7,"Y0P,C9E",Red/Small,2
KQ8XPE4X,Headphones,Home Appliances,Product_9EM48,45.38,34,3,17x12x7 cm,2023-03-15,2026-01-01,HJ99JX,"PXZ,OY0",Red/Small,3
17OLGNDR,Smartphone,Electronics,Product_MEHJF,237.63,59,2,12x11x13 cm,2023-07-30,2026-01-01,VU1928,"BNH,KLP",Green/Large,3
9B03F0RC,Smartphone,Clothing,Product_RMEW2,15.02,58,3,8x17x9 cm,2023-07-30,2024-01-01,6ZPFXA,"WI7,QRJ",Green/Large,1
YNU9P8PZ,Smartphone,Clothing,Product_KD8VE,473.08,52,2,19x15x15 cm,2023-01-01,2026-01-01,K8JWUQ,"229,HCK",Red/Small,1
2KPP3FEV,Smartphone,Clothing,Product_QSP2G,215.52,25,2,9x19x9 cm,2023-03-15,2026-01-01,RXNPRI,"NLY,3B2",Red/Small,5
BNUZXW42,Smartphone,Electronics,Product_26P79,214.59,43,1,10x6x9 cm,2023-07-30,2025-01-01,8ZUFGF,"4Y9,WWX",Red/Small,2
67V2L4X3,Headphones,Clothing,Product_9IK6X,70.58,31,3,18x12x18 cm,2023-01-01,2025-01-01,0YUWGI,"3Z1,89T",Blue/Medium,1
FUA29UWR,Smartphone,Electronics,Product_Q64C9,438.84,89,1,14x10x5 cm,2023-03-15,2026-01-01,JHRW7J,"EZB,E9O",Green/Large,3
VCVB42GZ,Laptop,Clothing,Product_CTU0E,129.67,4,1,10x6x12 cm,2023-07-30,2024-01-01,R24XWU,"HOF,586",Red/Small,3
CURZJ61H,Headphones,Clothing,Product_PB6DV,495.7,71,1,13x6x9 cm,2023-01-01,2025-01-01,XI29FW,"F97,I7P",Green/Large,1
O8EOHFE5,Headphones,Electronics,Product_LA7EL,52.3,73,2,16x5x13 cm,2023-07-30,2026-01-01,OWF91T,"V0D,CZ1",Blue/Medium,3
A3G64G0T,Laptop,Home Appliances,Product_FRZ56,315.05,90,3,6x11x16 cm,2023-03-15,2024-01-01,BMWW5Y,"KL9,ZMY",Blue/Medium,2
5091DDHQ,Smartphone,Electronics,Product_EX07V,417.2,32,2,9x8x13 cm,2023-03-15,2026-01-01,XZUIWR,"GND,F5S",Green/Large,2
QHR07366,Laptop,Home Appliances,Product_T00IC,499.27,6,2,16x16x5 cm,2023-01-01,2025-01-01,IY8E35,"YU8,JXL",Green/Large,5
VLNSOUXL,Monitor,Electronics,Product_DA8B7,387.44,10,3,8x14x15 cm,2023-01-01,2025-01-01,8RXNVP,"Q4O,W2S",Green/Large,4
VNBH057K,Monitor,Home Appliances,Product_UWW96,214.27,83,3,14x16x19 cm,2023-03-15,2024-01-01,5YSEU1,"XPC,0UM",Blue/Medium,1
S2LP0MP3,Smartphone,Home Appliances,Product_JT8N7,71.22,91,1,8x5x17 cm,2023-07-30,2024-01-01,SMN066,"SEE,E81",Blue/Medium,2
J1BXGNC3,Headphones,Clothing,Product_LRN1A,447.85,28,2,15x5x7 cm,2023-03-15,2025-01-01,XXJNCG,"2H2,94D",Red/Small,2
CF3WT61I,Headphones,Home Appliances,Product_D1Z2H,381.24,90,3,6x14x13 cm,2023-07-30,2025-01-01,8U13KG,"2BV,UOL",Red/Small,4
CV5CSI8K,Smartphone,Home Appliances,Product_BPJC9,361.2,29,3,6x13x15 cm,2023-01-01,2024-01-01,VBNX68,"PGV,YU8",Red/Small,4
CJT73XPS,Monitor,Clothing,Product_3GOUT,437.55,11,3,13x6x15 cm,2023-01-01,2024-01-01,FIAW48,"QFD,YD6",Blue/Medium,1
B1ZSHFKT,Smartphone,Clothing,Product_6B8IP,356.89,91,2,9x14x13 cm,2023-07-30,2025-01-01,6HMXHV,"GLA,K6F",Green/Large,4
YMQDIIMF,Headphones,Home Appliances,Product_TMUT9,152.89,64,3,15x5x8 cm,2023-03-15,2025-01-01,AODYGY,"UU4,9ZO",Green/Large,4
A6RNU9BD,Laptop,Clothing,Product_KTLF9,41.31,1,2,16x9x5 cm,2023-03-15,2025-01-01,VG6ENF,"N0U,AQC",Green/Large,5
6A6D61V2,Laptop,Clothing,Product_925QZ,341.07,9,1,7x19x6 cm,2023-03-15,2025-01-01,TJE9AB,"MZY,M7P",Blue/Medium,5
BK7HX0NY,Monitor,Home Appliances,Product_AJ7J9,460.65,30,2,17x5x20 cm,2023-01-01,2026-01-01,158UBM,"EES,DPU",Blue/Medium,3
NRXKAG2W,Monitor,Home Appliances,Product_R4G0G,141.2,49,2,6x10x15 cm,2023-03-15,2026-01-01,CDC8YB,"ZUC,JK7",Red/Small,2
O2AJQ0AH,Laptop,Clothing,Product_GXVXB,41.53,40,1,10x5x20 cm,2023-03-15,2026-01-01,9IB3KV,"I82,OOM",Green/Large,3
